,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,16,0
1,Andhra Pradesh,1525,441,33
2,Arunachal Pradesh,1,1,0
3,Assam,43,32,1
4,Bihar,481,107,4
5,Chandigarh,88,17,0
6,Chhattisgarh,43,36,0
7,Delhi,4122,1256,64
8,Goa,7,7,0
9,Gujarat,5054,896,262
10,Haryana,360,227,4
11,Himachal Pradesh,40,33,1
12,Jammu and Kashmir,666,254,8
13,Jharkhand,115,22,3
14,Karnataka,601,271,25
15,Kerala,499,400,4
16,Ladakh,22,17,0
21,Madhya Pradesh,2846,624,151
17,Maharashtra,12296,2000,521
18,Manipur,2,2,0
19,Meghalaya,12,0,1
20,Mizoram,1,0,0
22,Odisha,157,56,1
23,Puducherry,8,5,0
24,Punjab,772,112,20
25,Rajasthan,2770,1121,65
26,Tamil Nadu,2757,1341,29
27,Telengana,1063,458,28
28,Tripura,4,2,0
29,Uttar Pradesh,2487,689,43
30,Uttarakhand,59,39,0
31,West Bengal,922,151,33
