,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,4223,2539,71
2,Arunachal Pradesh,42,1,0
3,Assam,1988,442,4
4,Bihar,4493,2210,29
5,Chandigarh,301,214,5
6,Chhattisgarh,756,213,2
7,Dadra and Nagar Haveli,12,1,0
8,Daman and Diu,0,0,0
9,Delhi,25004,9898,650
10,Goa,166,57,0
11,Gujarat,18584,12667,1155
12,Haryana,3281,2134,24
13,Himachal Pradesh,383,179,5
14,Jammu and Kashmir,3142,1048,35
15,Jharkhand,793,354,6
16,Karnataka,4320,1610,57
17,Kerala,1588,690,14
18,Ladakh,90,48,1
19,Lakshadweep,0,0,0
24,Madhya Pradesh,8762,5637,377
20,Maharashtra,77793,33681,2710
21,Manipur,124,38,0
22,Meghalaya,33,13,1
23,Mizoram,17,1,0
25,Nagaland,80,0,0
26,Odisha,2478,1416,7
27,Puducherry,82,25,0
28,Punjab,2415,2043,47
29,Rajasthan,9862,7104,213
30,Sikkim,2,0,0
31,Tamil Nadu,27256,14902,220
32,Telengana,3147,1587,105
33,Tripura,644,173,0
34,Uttar Pradesh,9237,5439,245
35,Uttarakhand,1153,297,10
36,West Bengal,6876,2768,355
