,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,1930,887,44
2,Arunachal Pradesh,1,1,0
3,Assam,63,34,2
4,Bihar,591,322,5
5,Chandigarh,169,24,2
6,Chhattisgarh,59,43,0
7,Dadra and Nagar Haveli,1,0,0
8,Delhi,6542,2020,73
9,Goa,7,7,0
10,Gujarat,7796,2091,472
11,Haryana,675,290,9
12,Himachal Pradesh,50,38,2
13,Jammu and Kashmir,836,368,9
14,Jharkhand,156,78,3
15,Karnataka,794,386,30
16,Kerala,505,485,4
17,Ladakh,42,17,0
22,Madhya Pradesh,3614,1676,215
18,Maharashtra,20228,3800,779
19,Manipur,2,2,0
20,Meghalaya,13,10,1
21,Mizoram,1,1,0
23,Odisha,294,63,2
24,Puducherry,9,6,0
25,Punjab,1762,157,31
26,Rajasthan,3708,2026,106
27,Tamil Nadu,6535,1824,44
28,Telengana,1163,750,30
29,Tripura,134,2,0
30,Uttar Pradesh,3373,1499,74
31,Uttarakhand,67,46,1
32,West Bengal,1786,372,171
