,Confirmed,Cured,Dead,State
1,11,10,0,AndamanNicobar
0,572,36,14,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,35,5,1,Assam
2,83,37,1,Bihar
3,21,9,0,Chandigarh
4,36,23,0,Chhattisgarh
5,1640,51,38,Delhi
6,7,6,0,Goa
7,1021,74,38,Gujarat
8,205,43,3,Haryana
9,35,16,1,HimachalPradesh
10,314,38,4,J & K
28,29,0,2,Jharkhand
11,353,82,13,Karnataka
12,395,245,3,Kerala
13,18,14,0,Ladakh
14,1308,65,57,MP
15,3205,300,194,Maharashtra
16,2,1,0,Manipur
31,9,0,1,Meghalaya
17,1,0,0,Mizoram
18,60,19,1,Odisha
19,7,1,0,Puducherry
20,186,27,13,Punjab
21,1131,164,11,Rajasthan
22,1267,180,15,TamilNadu
23,743,186,18,Telengana
30,2,1,0,Tripura
25,846,74,14,UttarPradesh
24,37,9,0,Uttarakhand
26,255,51,10,West Bengal
