,State,Confirmed,Cured,Dead
0,AndamanNicobar,33,11,0
1,AndhraPradesh,1097,231,31
2,Arunachal Pradesh,1,1,0
3,Assam,36,19,1
4,Bihar,251,46,2
5,Chandigarh,30,17,0
6,Chhattisgarh,37,32,0
7,Delhi,2625,869,54
8,Goa,7,7,0
9,Gujarat,3071,282,133
10,Haryana,289,176,3
11,HimachalPradesh,40,22,1
12,J & K,494,112,6
13,Jharkhand,67,13,3
14,Karnataka,501,177,18
15,Kerala,458,338,4
16,Ladakh,20,14,0
21,MP,2096,210,99
17,Maharashtra,7628,1076,323
18,Manipur,2,2,0
19,Meghalaya,12,0,1
20,Mizoram,1,0,0
22,Odisha,103,34,1
23,Puducherry,7,3,0
24,Punjab,298,67,17
25,Rajasthan,2083,493,33
26,TamilNadu,1821,960,23
27,Telengana,991,280,26
28,Tripura,2,2,0
29,UttarPradesh,1843,289,29
30,Uttarakhand,50,26,0
31,West Bengal,611,105,18
