,Confirmed,Cured,Dead,State
1,16,11,0,AndamanNicobar
0,722,92,20,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,35,19,1,Assam
2,113,42,2,Bihar
3,26,13,0,Chandigarh
4,36,25,0,Chhattisgarh
5,2081,431,47,Delhi
6,7,7,0,Goa
7,1939,131,71,Gujarat
8,254,127,3,Haryana
9,39,16,1,HimachalPradesh
10,368,71,5,J & K
28,46,0,2,Jharkhand
11,408,112,16,Karnataka
12,408,291,3,Kerala
13,18,14,0,Ladakh
14,1485,127,74,MP
15,4666,572,232,Maharashtra
16,2,2,0,Manipur
31,11,0,1,Meghalaya
17,1,0,0,Mizoram
18,74,24,1,Odisha
19,7,3,0,Puducherry
20,245,38,16,Punjab
21,1576,205,25,Rajasthan
22,1520,457,17,TamilNadu
23,873,190,23,Telengana
30,2,1,0,Tripura
25,1184,140,18,UttarPradesh
24,46,18,0,Uttarakhand
26,392,73,12,West Bengal
