Unnamed: 0,Confirmed,Cured,Dead,State,time,date
1,10,0,0,Andaman & Nicobar Island,18:00,06 April 2020
0,226,1,3,Andhra Pradesh,18:00,06 April 2020
29,1,0,0,Arunanchal Pradesh,18:00,06 April 2020
27,26,0,0,Assam,18:00,06 April 2020
2,32,0,1,Bihar,18:00,06 April 2020
3,18,0,0,Chandigarh,18:00,06 April 2020
4,10,8,0,Chhattisgarh,18:00,06 April 2020
5,523,19,7,NCT of Delhi,18:00,06 April 2020
6,7,0,0,Goa,18:00,06 April 2020
7,144,22,12,Gujarat,18:00,06 April 2020
8,84,25,1,Haryana,18:00,06 April 2020
9,13,2,1,Himachal Pradesh,18:00,06 April 2020
10,109,4,2,J & K,18:00,06 April 2020
28,4,0,0,Jharkhand,18:00,06 April 2020
11,151,12,4,Karnataka,18:00,06 April 2020
12,314,55,2,Kerala,18:00,06 April 2020
13,14,10,0,Ladakh,18:00,06 April 2020
14,165,0,9,Madhya Pradesh,18:00,06 April 2020
15,748,56,45,Maharashtra,18:00,06 April 2020
16,2,0,0,Manipur,18:00,06 April 2020
17,1,0,0,Mizoram,18:00,06 April 2020
18,21,2,0,Odisha,18:00,06 April 2020
19,5,1,0,Puducherry,18:00,06 April 2020
20,76,4,6,Punjab,18:00,06 April 2020
21,274,21,0,Rajasthan,18:00,06 April 2020
22,571,8,5,Tamil Nadu,18:00,06 April 2020
23,321,34,7,Telangana,18:00,06 April 2020
25,305,21,3,Uttar Pradesh,18:00,06 April 2020
24,26,4,0,Uttarakhand,18:00,06 April 2020
26,80,10,3,West Bengal,18:00,06 April 2020
1,10,0,0,Andaman & Nicobar Island,09:00,07 April 2020
0,226,1,3,Andhra Pradesh,09:00,07 April 2020
29,1,0,0,Arunanchal Pradesh,09:00,07 April 2020
27,26,0,0,Assam,09:00,07 April 2020
2,32,0,1,Bihar,09:00,07 April 2020
3,18,0,0,Chandigarh,09:00,07 April 2020
4,10,8,0,Chhattisgarh,09:00,07 April 2020
5,523,19,7,NCT of Delhi,09:00,07 April 2020
6,7,0,0,Goa,09:00,07 April 2020
7,144,22,12,Gujarat,09:00,07 April 2020
8,90,25,1,Haryana,09:00,07 April 2020
