,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,4080,2466,68
2,Arunachal Pradesh,38,1,0
3,Assam,1672,413,4
4,Bihar,4390,2077,25
5,Chandigarh,301,214,5
6,Chhattisgarh,668,188,2
7,Dadra and Nagar Haveli,8,1,0
8,Daman and Diu,0,0,0
9,Delhi,23645,9542,606
10,Goa,79,57,0
11,Gujarat,18100,12212,1122
12,Haryana,2954,1089,23
13,Himachal Pradesh,359,150,5
14,Jammu and Kashmir,2857,1007,34
15,Jharkhand,752,321,5
16,Karnataka,4063,1514,53
17,Kerala,1494,651,11
18,Ladakh,90,48,1
19,Lakshadweep,0,0,0
24,Madhya Pradesh,8588,5445,371
20,Maharashtra,74860,32329,2587
21,Manipur,118,38,0
22,Meghalaya,33,13,1
23,Mizoram,14,1,0
25,Nagaland,58,0,0
26,Odisha,2388,1416,7
27,Puducherry,82,25,0
28,Punjab,2376,2029,47
29,Rajasthan,9652,6744,209
30,Sikkim,2,0,0
31,Tamil Nadu,25872,14316,208
32,Telengana,3020,1556,99
33,Tripura,468,173,0
34,Uttar Pradesh,8729,5176,229
35,Uttarakhand,1085,282,8
36,West Bengal,6508,2580,345
