,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,16,0
1,Andhra Pradesh,1403,321,31
2,Arunachal Pradesh,1,1,0
3,Assam,42,29,1
4,Bihar,418,82,2
5,Chandigarh,56,17,0
6,Chhattisgarh,38,34,0
7,Delhi,3515,1094,59
8,Goa,7,7,0
9,Gujarat,4395,613,214
10,Haryana,313,209,3
11,Himachal Pradesh,40,28,1
12,Jammu and Kashmir,614,216,8
13,Jharkhand,109,20,3
14,Karnataka,565,229,21
15,Kerala,497,383,4
16,Ladakh,22,16,0
21,Madhya Pradesh,2660,482,137
17,Maharashtra,10498,1773,459
18,Manipur,2,2,0
19,Meghalaya,12,0,1
20,Mizoram,1,0,0
22,Odisha,142,39,1
23,Puducherry,8,5,0
24,Punjab,357,90,19
25,Rajasthan,2584,836,58
26,Tamil Nadu,2323,1258,27
27,Telengana,1038,397,26
28,Tripura,2,2,0
29,Uttar Pradesh,2203,513,39
30,Uttarakhand,57,36,0
31,West Bengal,795,139,33
