,Confirmed,Cured,Dead,State
1,14,11,0,AndamanNicobar
0,603,42,15,AndhraPradesh
29,1,0,0,Arunachal Pradesh
27,35,12,1,Assam
2,86,37,2,Bihar
3,23,10,0,Chandigarh
4,36,24,0,Chhattisgarh
5,1893,72,42,Delhi
6,7,6,0,Goa
7,1376,93,53,Gujarat
8,225,43,3,Haryana
9,39,16,1,HimachalPradesh
10,341,51,5,J & K
28,34,0,2,Jharkhand
11,384,104,14,Karnataka
12,400,257,3,Kerala
13,18,14,0,Ladakh
14,1407,127,70,MP
15,3651,365,211,Maharashtra
16,2,1,0,Manipur
31,11,0,1,Meghalaya
17,1,0,0,Mizoram
18,61,24,1,Odisha
19,7,3,0,Puducherry
20,202,27,13,Punjab
21,1351,182,11,Rajasthan
22,1372,365,15,TamilNadu
23,809,186,18,Telengana
30,2,1,0,Tripura
25,969,86,14,UttarPradesh
24,42,9,0,Uttarakhand
26,310,62,12,West Bengal
