,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,33,0
1,Andhra Pradesh,3110,1896,56
2,Arunachal Pradesh,2,1,0
3,Assam,526,62,4
4,Bihar,2730,749,13
5,Chandigarh,238,186,3
6,Chhattisgarh,291,72,0
7,Dadra and Nagar Haveli,2,0,0
8,Daman and Diu,0,0,0
9,Delhi,14053,6771,276
10,Goa,67,19,0
11,Gujarat,14460,6636,888
12,Haryana,1184,765,16
13,Himachal Pradesh,223,67,5
14,Jammu and Kashmir,1668,809,23
15,Jharkhand,377,148,4
16,Karnataka,2182,705,44
17,Kerala,896,532,5
18,Ladakh,52,43,0
19,Lakshadweep,0,0,0
24,Madhya Pradesh,6859,3571,300
20,Maharashtra,52667,15786,1695
21,Manipur,39,4,0
22,Meghalaya,14,12,1
23,Mizoram,1,1,0
25,Nagaland,3,0,0
26,Odisha,1438,649,7
27,Puducherry,41,12,0
28,Punjab,2060,1898,40
29,Rajasthan,7300,3951,167
30,Sikkim,1,0,0
31,Tamil Nadu,17082,8731,118
32,Telengana,1920,1164,56
33,Tripura,194,165,0
34,Uttar Pradesh,6532,3581,165
35,Uttarakhand,349,58,3
36,West Bengal,3816,1414,278
