,State,Confirmed,Cured,Dead
0,Andaman and Nicobar,33,11,0
1,Andhra Pradesh,1183,235,31
2,Arunachal Pradesh,1,1,0
3,Assam,36,27,1
4,Bihar,345,57,2
5,Chandigarh,40,17,0
6,Chhattisgarh,37,32,0
7,Delhi,3108,877,54
8,Goa,7,7,0
9,Gujarat,3548,394,162
10,Haryana,296,183,3
11,Himachal Pradesh,40,22,1
12,Jammu and Kashmir,546,164,7
13,Jharkhand,82,13,3
14,Karnataka,512,193,20
15,Kerala,481,355,4
16,Ladakh,20,14,0
21,Madhya Pradesh,2168,302,110
17,Maharashtra,8590,1282,369
18,Manipur,2,2,0
19,Meghalaya,12,0,1
20,Mizoram,1,0,0
22,Odisha,118,37,1
23,Puducherry,8,3,0
24,Punjab,313,71,18
25,Rajasthan,2185,518,41
26,Tamil Nadu,1937,1101,24
27,Telengana,1002,280,26
28,Tripura,2,2,0
29,Uttar Pradesh,1955,335,31
30,Uttarakhand,51,33,0
31,West Bengal,697,109,20
